jd,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,F10,F81,S10,S10B,XM10,XM10B
2458034.0,7,3,3,3,3,3,7,3,79.6,82.1,66.2,66.0,75.1,79.6
2458035.0,3,7,3,0,3,3,3,3,76.7,82.0,64.8,66.0,72.4,79.6
2458036.0,7,3,3,3,0,0,0,3,72.3,81.9,63.5,65.9,70.6,79.6
2458037.0,0,0,0,3,3,0,3,15,70.9,81.7,62.3,65.9,68.8,79.5
2458038.0,15,27,48,27,27,48,27,27,69.6,81.5,61.4,65.9,67.1,79.5
2458039.0,48,27,27,27,48,27,15,27,70.2,81.3,60.7,65.8,67.4,79.5
2458040.0,15,48,7,27,80,48,80,48,69.7,80.9,60.4,65.7,69.7,79.5
2458041.0,48,27,48,48,27,27,15,15,69.0,80.3,60.3,65.6,70.1,79.4
2458042.0,27,48,15,27,48,27,15,3,70.3,79.0,60.6,65.5,71.0,79.1
2458043.0,7,15,7,7,7,3,15,7,70.9,78.4,61.0,65.4,69.8,78.8
2458044.0,7,3,7,7,7,3,3,3,70.3,77.7,61.7,65.2,72.5,78.5
2458045.0,3,7,3,3,3,0,3,7,73.2,77.1,62.6,65.0,71.8,78.2
2458046.0,15,15,7,7,7,15,15,15,73.4,76.5,63.6,64.9,72.2,77.8
2458047.0,27,7,7,7,7,3,3,7,75.7,76.1,64.6,64.7,71.5,77.6
2458048.0,7,7,7,7,7,15,15,15,76.5,75.7,65.6,64.6,73.5,77.4
2458049.0,15,7,3,3,3,3,3,7,77.3,75.6,66.5,64.4,79.0,77.3
